Date,Open,High,Low,Close,Volume
2026-01-28,445.0,445.0,402.5,413.95001220703125,410
2026-01-29,450.0,450.0,411.04998779296875,422.1000061035156,234
2026-01-30,453.0,453.0,417.54998779296875,424.25,642
2026-02-02,445.0,445.0,412.0,425.0,12
2026-02-03,418.75,442.8999938964844,415.5,425.3500061035156,671
2026-02-04,463.6000061035156,463.6000061035156,415.0,415.5,11
2026-02-05,439.0,439.0,411.75,417.04998779296875,239
2026-02-06,448.0,448.0,417.8500061035156,429.3500061035156,1433
2026-02-09,460.0,460.0,419.45001220703125,442.25,436
2026-02-10,455.0,455.0,431.8500061035156,441.45001220703125,423
2026-02-11,470.0,470.0,428.45001220703125,439.25,296
2026-02-12,465.0,465.0,433.04998779296875,436.29998779296875,6
2026-02-13,444.8999938964844,444.8999938964844,420.3999938964844,431.0,348
2026-02-16,450.0,450.0,450.0,450.0,5
2026-02-17,455.0,455.0,417.20001220703125,418.0,3531
2026-02-18,453.95001220703125,453.95001220703125,416.8999938964844,422.1499938964844,256
2026-02-19,444.0,444.0,444.0,444.0,10
2026-02-20,446.20001220703125,446.20001220703125,416.20001220703125,422.3500061035156,10
2026-02-23,445.0,445.0,404.3999938964844,428.45001220703125,47
2026-02-24,442.0,442.0,416.25,419.6499938964844,45
2026-02-25,448.0,448.0,411.54998779296875,411.54998779296875,295
2026-02-26,435.0,435.0,414.0,414.0,81
2026-02-27,411.20001220703125,411.75,405.0,408.20001220703125,234
2026-03-02,408.0,408.0,408.0,408.0,5
2026-03-04,420.3999938964844,420.3999938964844,379.29998779296875,383.45001220703125,2658
2026-03-05,418.3999938964844,433.8999938964844,400.79998779296875,411.70001220703125,1146
2026-03-06,412.0,412.0,405.75,410.70001220703125,14
2026-03-09,430.0,430.0,400.29998779296875,410.5,1834
2026-03-10,412.0,421.25,405.5,407.5,1059
2026-03-11,392.1499938964844,406.5,392.1499938964844,403.79998779296875,1863
2026-03-12,404.8500061035156,410.0,399.75,410.0,2516
2026-03-13,406.54998779296875,410.8999938964844,401.75,404.95001220703125,2022
2026-03-16,402.0,408.0,389.0,390.54998779296875,1089
2026-03-17,399.70001220703125,413.8500061035156,398.0,401.45001220703125,7363
2026-03-18,428.0,428.0,392.6499938964844,395.95001220703125,81
2026-03-19,404.5,409.04998779296875,401.6499938964844,402.29998779296875,38
2026-03-20,430.0,430.0,401.25,403.3999938964844,1055
2026-03-23,401.25,411.75,397.20001220703125,402.95001220703125,218
2026-03-24,409.95001220703125,409.95001220703125,401.54998779296875,405.70001220703125,5632
2026-03-25,415.0,415.0,399.70001220703125,401.8999938964844,23
2026-03-27,440.0,440.0,389.79998779296875,400.6000061035156,42
2026-03-30,435.0,435.0,395.3500061035156,403.5,1137
2026-04-01,405.5,405.79998779296875,402.25,403.25,15
2026-04-02,403.25,406.04998779296875,403.25,406.04998779296875,563
2026-04-06,403.1000061035156,406.04998779296875,401.6499938964844,404.20001220703125,833
2026-04-07,408.04998779296875,408.8999938964844,403.0,406.0,342
2026-04-08,425.0,425.0,397.45001220703125,398.95001220703125,2624
2026-04-09,415.0,415.0,395.0,398.6000061035156,894
2026-04-10,403.8999938964844,406.1000061035156,400.29998779296875,406.1000061035156,1002
2026-04-13,401.3999938964844,405.0,400.0,402.25,580
2026-04-15,407.0,429.3999938964844,398.75,399.95001220703125,2348
2026-04-16,414.0,420.3500061035156,403.1000061035156,403.29998779296875,460
2026-04-17,412.0,415.0,404.54998779296875,410.0,514
2026-04-20,410.29998779296875,428.1499938964844,392.0,399.3500061035156,153
2026-04-21,400.0,407.1000061035156,393.1499938964844,396.75,968
2026-04-22,400.8999938964844,403.8999938964844,396.20001220703125,397.25,61
2026-04-23,399.04998779296875,402.75,382.0,388.8999938964844,8811
2026-04-24,390.0,393.0,311.1499938964844,311.1499938964844,18562
2026-04-27,299.70001220703125,299.70001220703125,248.9499969482422,248.9499969482422,187834
2026-04-28,243.9499969482422,248.39999389648438,227.25,238.8000030517578,28651
