Date,Open,High,Low,Close,Volume
2026-01-28,24.229999542236328,24.25,23.3700008392334,23.639999389648438,8514500
2026-01-29,23.5,23.600000381469727,22.700000762939453,22.809999465942383,7555100
2026-01-30,23.290000915527344,24.010000228881836,23.290000915527344,23.8799991607666,16706700
2026-02-02,24.3799991607666,25.93000030517578,24.049999237060547,25.850000381469727,24507600
2026-02-03,25.15999984741211,25.299999237060547,23.84000015258789,24.520000457763672,15876400
2026-02-04,24.479999542236328,25.15999984741211,24.049999237060547,24.979999542236328,9779700
2026-02-05,24.75,25.5,24.549999237060547,24.690000534057617,10155500
2026-02-06,24.799999237060547,25.399999618530273,24.440000534057617,24.979999542236328,10022600
2026-02-09,24.889999389648438,24.969999313354492,24.200000762939453,24.639999389648438,5328400
2026-02-10,24.510000228881836,25.209999084472656,24.020000457763672,24.81999969482422,5797500
2026-02-11,24.809999465942383,24.829999923706055,24.040000915527344,24.209999084472656,4755900
2026-02-12,24.209999084472656,24.3700008392334,23.360000610351562,23.520000457763672,6684500
2026-02-13,23.610000610351562,24.09000015258789,23.440000534057617,23.56999969482422,6331600
2026-02-17,23.549999237060547,23.81999969482422,23.229999542236328,23.260000228881836,4338300
2026-02-18,23.25,24.040000915527344,23.09000015258789,23.8700008392334,5007800
2026-02-19,23.770000457763672,24.09000015258789,23.579999923706055,23.899999618530273,3626300
2026-02-20,23.559999465942383,23.809999465942383,23.399999618530273,23.43000030517578,4169400
2026-02-23,23.239999771118164,23.700000762939453,22.790000915527344,23.639999389648438,5669400
2026-02-24,23.690000534057617,24.34000015258789,23.549999237060547,23.770000457763672,5466700
2026-02-25,23.850000381469727,24.309999465942383,23.700000762939453,24.219999313354492,4568100
2026-02-26,24.209999084472656,24.530000686645508,23.719999313354492,24.100000381469727,5070500
2026-02-27,23.790000915527344,24.219999313354492,23.700000762939453,24.030000686645508,4338000
2026-03-02,23.540000915527344,24.209999084472656,23.399999618530273,24.200000762939453,4620600
2026-03-03,23.780000686645508,24.170000076293945,23.450000762939453,23.81999969482422,4124000
2026-03-04,23.950000762939453,24.200000762939453,23.770000457763672,23.8700008392334,3485600
2026-03-05,23.799999237060547,24.229999542236328,23.530000686645508,23.8799991607666,5288100
2026-03-06,23.729999542236328,24.389999389648438,23.6200008392334,24.3700008392334,5825300
2026-03-09,24.0,24.969999313354492,23.93000030517578,24.799999237060547,7210900
2026-03-10,24.520000457763672,25.0,24.329999923706055,24.3700008392334,5144400
2026-03-11,24.290000915527344,24.68000030517578,23.959999084472656,24.459999084472656,5152600
2026-03-12,24.399999618530273,24.639999389648438,24.110000610351562,24.43000030517578,5201800
2026-03-13,24.299999237060547,24.739999771118164,23.5,23.530000686645508,6399400
2026-03-16,23.670000076293945,23.81999969482422,23.260000228881836,23.280000686645508,6134900
2026-03-17,23.299999237060547,23.799999237060547,23.280000686645508,23.59000015258789,3078400
2026-03-18,23.520000457763672,23.649999618530273,23.290000915527344,23.360000610351562,3075900
2026-03-19,22.950000762939453,23.350000381469727,22.719999313354492,23.229999542236328,5194500
2026-03-20,23.100000381469727,23.18000030517578,22.360000610351562,22.56999969482422,7088100
2026-03-23,22.700000762939453,23.149999618530273,22.559999465942383,23.030000686645508,5227300
2026-03-24,22.760000228881836,23.100000381469727,22.450000762939453,22.809999465942383,8085900
2026-03-25,22.780000686645508,23.5,22.459999084472656,23.079999923706055,7850100
2026-03-26,22.90999984741211,23.219999313354492,22.450000762939453,22.559999465942383,6905900
2026-03-27,22.65999984741211,22.790000915527344,22.030000686645508,22.100000381469727,5068800
2026-03-30,22.350000381469727,22.6299991607666,22.059999465942383,22.270000457763672,6651600
2026-03-31,22.399999618530273,23.100000381469727,22.3799991607666,23.040000915527344,8431100
2026-04-01,23.290000915527344,23.350000381469727,22.719999313354492,22.760000228881836,4417700
2026-04-02,22.579999923706055,23.43000030517578,22.56999969482422,23.360000610351562,3855200
2026-04-06,23.309999465942383,23.6200008392334,23.079999923706055,23.079999923706055,3660100
2026-04-07,23.079999923706055,23.540000915527344,22.68000030517578,23.43000030517578,10668300
2026-04-08,23.700000762939453,23.760000228881836,22.889999389648438,22.90999984741211,6788600
2026-04-09,22.899999618530273,23.350000381469727,22.829999923706055,22.8700008392334,3163800
2026-04-10,22.950000762939453,23.25,22.510000228881836,23.219999313354492,5856400
2026-04-13,23.0,23.43000030517578,22.729999542236328,23.399999618530273,5516100
2026-04-14,23.450000762939453,24.299999237060547,23.43000030517578,24.030000686645508,10482700
2026-04-15,24.149999618530273,24.850000381469727,24.030000686645508,24.790000915527344,11695400
2026-04-16,24.90999984741211,25.489999771118164,24.540000915527344,25.18000030517578,10701100
2026-04-17,25.190000534057617,25.34000015258789,24.3700008392334,24.549999237060547,8161000
2026-04-20,24.170000076293945,25.049999237060547,24.079999923706055,24.920000076293945,6199700
2026-04-21,25.049999237060547,25.329999923706055,24.43000030517578,24.459999084472656,6472800
2026-04-22,24.709999084472656,25.739999771118164,24.700000762939453,25.65999984741211,9643700
2026-04-23,25.84000015258789,26.020000457763672,24.729999542236328,25.010000228881836,8576900
2026-04-24,25.209999084472656,25.25,24.729999542236328,24.950000762939453,5148900
2026-04-27,25.0,25.6299991607666,24.920000076293945,25.40999984741211,6250200
2026-04-28,25.309999465942383,25.420000076293945,24.933000564575195,24.975000381469727,1216700
